table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),16-24 (d),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,7,2,5,-,1,2,2,2,5,1,-,1,-,-,-,-,-,-,-,-,-,-,-,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,6**,2**,4**,-**,1**,2**,1**,2**,4**,1**,-**,1**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,6**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,6,2,4,-,1,2,1,2,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,4,5,2,3,-,1,1,1,2,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.14,4,4.21,-,4,4.46,4,4,4,5,-,4,-,-,-,-,-,-,-,-,-,-,-,4.14,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
