table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,24,15,9,9,9,1,5,1,1,6,9,3,2,9,1,1,3,1,1,2,1,3,6,4,2,-,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 12th to 14th March 2021,4,57,30,27,11,11,8,7,10,10,13,16,11,16,15,5,2,3,5,6,3,1,5,13,11,4,-,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 12th to 14th March 2021,3,35,16,19,1,1,8,3,7,9,6,9,10,9,6,5,-,7,2,1,1,-,3,3,9,4,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 12th to 14th March 2021,2,1,1,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,1,1,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 12th to 14th March 2021,Mean,3.9,3.95,3.83,4.39,4.39,3.61,3.99,3.68,3.64,3.99,3.97,3.71,3.73,4.1,3.48,4.43,3.72,3.91,3.97,4.12,4.33,4,4.13,3.81,3.84,3,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.73,0.75,0.7,0.57,0.57,0.65,0.9,0.63,0.64,0.72,0.8,0.71,0.59,0.73,0.78,0.6,0.87,0.6,0.56,0.76,0.65,0.75,0.65,0.73,0.79,-,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,93,43,50,13,13,14,13,14,13,26,33,25,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,93*,46*,48*,14**,14**,18**,11**,14**,11**,26**,29*,27**,21**,17**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
