table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 338,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,84,45,40,26,26,5,15,13,6,17,25,19,12,28,11,2,13,4,13,6,5,8,9,8,5,1,13,32,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 338,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,293,157,136,31,26,64,51,36,38,73,70,93,58,71,17,9,32,26,33,26,14,20,47,34,25,11,39,135,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 338,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),170,88,82,25,22,39,26,31,27,22,51,55,39,25,9,3,21,12,16,14,9,19,27,21,14,3,33,88,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 338,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,110,60,50,18,13,17,21,18,20,16,25,22,33,31,9,6,17,5,8,4,5,12,19,17,7,2,12,47,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 338,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,*,1,1,1,-,-,-,-,*,-,1,*,-,1,-,-,-,-,-,-,*,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,212,322,113,149,181,33,130,31,31,116,142,378,5,146,46,15,159,153,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,201,318,138,147,131,29,107,25,21,107,117,367,8,138,49,17,153,137,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,292,457,177,217,240,50,178,37,37,164,173,543,9,199,68,35,222,190,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,43,59,26,26,34,13,31,9,13,26,24,78,2,23,13,4,42,25,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,140,214,90,98,111,29,83,28,27,72,69,256,4,101,35,14,129,82,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,80,118,48,65,75,13,52,16,17,54,61,139,3,42,24,12,58,48,,,,,,,,,,,,,,,,,,
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,48,74,28,23,42,15,36,9,16,25,35,93,1,32,9,2,43,37,,,,,,,,,,,,,,,,,,
