table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 329,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,204,110,94,52,51,31,34,32,20,34,46,58,35,65,18,8,24,8,27,15,11,21,39,17,13,4,38,72,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 329,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,1543,760,782,200,168,253,241,254,233,361,412,431,304,396,129,68,181,132,130,111,84,141,194,193,134,47,212,621,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 329,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),482,250,232,74,65,114,90,72,63,69,156,161,98,67,29,15,59,36,43,39,19,44,78,70,40,9,108,254,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 329,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,230,125,104,31,26,46,39,38,30,47,56,54,62,57,20,8,32,16,27,14,8,18,35,31,16,5,35,98,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 329,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,*,1,1,1,-,-,-,-,*,-,1,*,-,1,-,-,-,-,-,-,*,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118,664,1001,393,463,509,110,383,104,102,351,407,1186,20,455,144,53,508,443,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,514,803,349,404,428,88,322,74,76,307,327,949,19,345,124,58,405,356,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,691,1071,407,481,546,112,426,94,105,370,413,1264,21,489,165,68,542,451,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,94,132,48,58,85,33,68,24,23,55,53,175,4,56,22,8,91,55,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,777,1182,455,541,605,121,449,114,114,407,454,1385,20,510,188,71,595,503,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,215,347,155,163,185,50,135,41,47,146,141,419,8,128,67,28,185,141,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,90,150,52,59,83,30,67,17,22,57,63,184,6,62,21,13,95,68,,,,,,,,,,,,,,,,,,
Table 330,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,-,*,*,1,*,-,*,*,-,*,*,*,-,*,-,-,1,-,,,,,,,,,,,,,,,,,,
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,104,96,90,161,78,67,442,489,420,284,1066,304,1242,1250,1269,1315,-
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,78,55,56,135,52,44,349,403,349,223,842,215,936,1028,1053,1081,-
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,108,92,80,178,76,64,465,527,486,281,1178,316,1268,1345,1386,1416,-
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,21,16,29,16,17,69,77,76,51,141,63,175,181,182,204,-
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,126,105,94,199,85,70,515,560,486,286,1265,350,1381,1472,1506,1543,-
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,36,26,29,58,28,22,147,179,184,121,361,117,418,438,452,482,-
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,22,20,40,15,20,66,103,89,84,153,67,203,205,211,230,-
Table 331,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,*,*,*,-,1,*,*,*,1,*,1,1,1,1,-
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Washing hands regularly and thoroughly,1388,628,761,171,145,222,226,228,205,336,363,390,284,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Limiting your contact with other people (including family and friends),1042,516,525,132,107,172,149,182,166,241,305,306,191,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1477,726,751,205,177,217,212,255,231,356,404,414,305,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Wearing a face mask/ covering,292,146,146,69,63,62,49,44,28,39,66,70,61,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Staying at home as much as possible,1467,715,751,193,165,230,231,255,211,347,390,417,301,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Work from home (if possible),459,252,207,79,72,101,80,89,52,58,156,144,90,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 5th to 7th June 2020,Not touching your face when outside,254,136,119,30,25,60,40,43,26,54,52,57,62,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Washing hands regularly and thoroughly,1442,684,758,163,139,233,230,260,211,344,386,406,287,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Limiting your contact with other people (including family and friends),1022,480,542,146,122,150,153,174,155,244,278,298,213,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1446,711,736,199,166,199,223,259,212,354,378,394,302,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Wearing a face mask/ covering,365,203,162,70,63,72,47,64,40,71,95,95,77,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Staying at home as much as possible,1368,643,726,186,162,234,199,224,197,329,385,376,267,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Work from home (if possible),416,229,187,66,60,109,74,68,64,35,130,145,77,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,Not touching your face when outside,281,149,133,46,40,61,56,42,35,42,74,75,64,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 12th to 15th June 2020,None of these,1,1,-,-,-,-,*,-,-,1,-,-,*,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Washing hands regularly and thoroughly,1498,670,827,187,169,237,225,275,224,350,407,407,293,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Limiting your contact with other people (including family and friends),1030,537,493,119,97,167,170,187,148,239,294,284,204,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1406,668,738,192,169,214,210,244,215,331,370,378,303,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Wearing a face mask/ covering,397,197,200,77,70,72,68,52,48,79,99,110,84,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Staying at home as much as possible,1344,664,679,171,149,219,213,211,206,323,366,381,265,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Work from home (if possible),501,273,228,89,83,110,76,95,60,73,147,179,99,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,Not touching your face when outside,311,161,150,59,53,65,45,50,34,59,83,87,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 19th to 21st June 2020,None of these,2,1,1,-,-,-,-,1,-,1,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
