table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,Washing hands regularly and thoroughly,404,180,224,53,50,62,59,80,62,88,89,110,89,115,24,16,37,30,37,28,16,54,62,51,32,16,348,8,190,141
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,Limiting your contact with other people (including family and friends),357,160,197,36,34,52,44,61,58,105,113,90,74,81,27,15,43,33,31,25,18,31,39,54,31,10,302,15,153,128
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,Maintaining social distancing,463,241,222,65,49,68,72,72,71,115,147,135,76,105,43,18,54,39,43,28,28,40,60,53,42,15,377,8,192,168
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,Wearing a face mask/ covering,389,194,195,47,39,78,67,65,49,85,89,103,95,102,39,16,43,27,29,32,20,32,56,52,31,12,319,7,176,131
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,Staying at home as much as possible,263,124,138,43,38,43,43,46,35,53,66,86,55,56,25,9,25,21,29,21,8,27,28,42,23,6,225,5,110,103
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,Work from home (if possible),111,58,53,28,24,11,23,21,19,10,38,31,16,26,9,6,13,11,4,10,3,6,14,24,9,3,97,5,46,42
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,Not touching your face when outside,69,42,28,15,13,22,10,11,4,7,14,24,16,15,6,-,9,5,7,5,4,5,14,6,7,2,57,6,24,25
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 4th to 6th December 2020,None of these,51,32,19,4,4,17,9,6,5,9,17,15,8,11,3,2,9,6,4,1,3,4,4,6,7,1,43,1,15,20
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Washing hands regularly and thoroughly,289,149,139,29,22,45,54,55,45,60,68,78,71,73,19,8,34,24,27,18,7,28,40,42,24,15,247,,,
