table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,351,188,163,64,58,62,63,51,42,69,112,99,60,80,29,12,32,26,31,39,20,20,51,46,32,13,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,354,194,160,69*,63*,69*,59*,47*,45*,65*,101*,103*,71*,78*,23**,11**,31**,28**,35**,40**,22**,21**,46*,48*,35**,13**,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,NET: Trust,143,79,64,37,32,27,31,14,13,20,42,39,29,33,11,3,8,9,11,12,10,10,26,21,17,5,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,5 - Trust completely,27,16,11,5,5,5,6,4,1,5,6,5,4,11,1,1,5,-,2,5,-,3,8,*,-,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,4,116,63,53,32,27,22,25,11,12,15,36,34,24,22,10,1,4,9,9,8,10,7,18,21,17,3,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,3,178,96,82,29,28,33,25,27,27,38,52,47,39,40,10,8,22,15,21,21,12,11,16,20,15,6,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,2,28,16,12,3,2,6,2,5,5,6,7,14,2,5,2,-,1,2,3,6,-,-,4,6,1,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,1 - Do not trust at all,5,2,3,-,-,3,1,1,-,-,-,3,1,1,-,-,-,2,-,1,-,-,-,1,1,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,NET: Do not trust,33,18,15,3,2,9,3,6,5,6,7,17,3,6,2,-,1,5,3,7,-,-,4,7,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,Mean,3.37,3.39,3.35,3.57,3.56,3.29,3.56,3.24,3.22,3.29,3.4,3.24,3.4,3.48,3.4,3.38,3.39,3.06,3.3,3.23,3.44,3.62,3.65,3.29,3.39,3.4,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q5. Trust in the sources for information/news about Coronavirus used in last week: Search engine (e.g. Google),ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,0.79,0.79,0.79,0.7,0.7,0.91,0.8,0.82,0.67,0.76,0.72,0.85,0.74,0.85,0.72,0.74,0.79,0.85,0.69,0.92,0.51,0.72,0.88,0.77,0.72,0.97,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
