table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 12th to 15th June 2020,Mean,2.66,2.74,2.59,2.55,2.53,2.61,2.92,2.64,2.5,2.63,2.7,2.49,2.8,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.93,0.95,0.91,0.91,0.91,0.88,0.95,0.9,0.82,1.07,0.92,0.9,0.93,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,437,194,243,61,58,96,100,73,40,67,112,124,83,118,43,9,40,37,32,32,29,44,74,53,33,11,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,444,209,234,69*,64*,100*,96*,77*,40*,62*,106*,128,98*,112*,41*,8**,42*,40*,41**,28**,26**,43*,65*,61*,37**,12**,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,87,51,35,20,18,22,24,9,2,9,29,10,25,23,3,2,2,9,20,3,4,4,27,12,1,-,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,12,7,5,3,3,3,6,-,-,1,6,1,1,5,1,-,-,-,4,-,-,-,7,-,-,-,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,4,74,44,31,17,15,19,18,9,2,8,23,10,23,18,2,2,2,9,16,3,4,4,19,12,1,-,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,3,184,86,99,25,25,43,42,34,16,26,39,66,41,39,20,2,19,16,7,15,14,20,26,22,23,2,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,2,136,54,82,20,17,25,22,32,17,20,28,45,27,36,12,2,19,11,10,7,7,15,8,26,11,8,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,37,19,18,5,5,10,8,2,5,7,11,6,6,14,6,1,3,3,3,4,1,4,5,1,2,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,173,73,100,24,21,35,30,34,22,27,38,52,33,50,19,4,22,14,14,11,8,19,13,27,13,10,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,Mean,2.75,2.84,2.67,2.9,2.91,2.81,2.92,2.65,2.36,2.6,2.86,2.63,2.87,2.67,2.46,2.63,2.47,2.81,3.19,2.55,2.77,2.56,3.25,2.75,2.63,1.91,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,0.92,0.97,0.87,0.98,0.98,0.97,0.99,0.73,0.77,0.9,1.04,0.72,0.88,1.03,0.88,1.07,0.69,0.9,1.18,0.88,0.76,0.8,1.05,0.79,0.67,0.62,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,813,324,489,,,,,,,,255,230,116,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,179,181,131,102,124,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,820,322,498,,,,,,,,191,233,167*,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119*,173,177,132,87*,131,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,NET: Trust,120,47,73,,,,,,,,19,30,29,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,22,28,24,13,14,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,5 - Trust completely,16,10,6,,,,,,,,4,2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,5,1,1,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,4,104,37,67,,,,,,,,15,28,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,19,24,19,12,12,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,3,372,132,240,,,,,,,,85,88,79,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,74,79,59,39,74,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,2,249,111,138,,,,,,,,66,88,40,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,57,55,35,26,38,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,1 - Do not trust at all,79,32,47,,,,,,,,22,27,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,20,15,14,9,5,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,NET: Do not trust,328,143,185,,,,,,,,88,114,58,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,77,70,49,35,43,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,Mean,2.67,2.63,2.69,,,,,,,,2.54,2.53,2.73,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,2.58,2.71,2.74,2.67,2.74,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.89,0.92,0.86,,,,,,,,0.88,0.88,0.89,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.89,0.9,0.96,0.89,0.72,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,487,231,256,77,72,127,91,82,54,56,133,131,99,124,53,17,38,46,51,39,21,41,78,57,29,17,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,185,183
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,510,223,286,85*,77*,126*,107*,83*,52*,56*,132,133,125*,119*,51*,18**,45*,46*,49*,45*,20**,42*,70*,72*,35**,17**,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19**,191,205
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,NET: Trust,89,47,42,24,23,25,16,16,2,5,29,16,21,23,8,5,8,5,8,9,4,4,18,12,9,-,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,35
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,5 - Trust completely,24,15,8,8,8,3,6,7,-,-,10,1,7,6,2,1,3,-,-,-,-,-,9,5,4,-,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,4,65,31,34,16,15,22,11,10,2,5,19,14,14,17,6,4,6,5,8,9,4,4,9,7,5,-,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,27
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,3,226,93,133,31,27,58,52,39,22,23,44,73,52,56,25,7,16,28,19,18,8,23,33,30,12,7,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,90,84
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,2,150,65,85,27,25,31,27,19,22,24,46,35,37,31,13,4,17,10,16,17,8,12,13,23,9,5,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,51,71
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,1 - Do not trust at all,45,19,26,2,2,12,12,9,6,4,12,9,15,9,5,2,3,3,5,1,1,3,7,7,5,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,20,16
