table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",9,4,5,2,2,2,5,-,-,-,4,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Facts forwarded/ posted/ shared from a person you don't know,8,1,8,5,3,1,2,1,-,-,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Opinions from a person you don't know,8,1,7,7,6,1,*,1,-,-,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,I don't notice where the information is coming from,5,*,4,5,5,-,-,-,-,-,1,*,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,45,17,28,31,26,8,3,1,2,-,22,10,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,52*,17**,35**,37**,30**,8**,2**,2**,3**,-**,25**,14**,6**,6**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Opinions from a person you know,20,9,11,15,10,3,1,-,1,-,11,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",20,5,14,16,14,2,1,-,-,-,12,7,1,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",19,3,15,14,13,-,1,2,2,-,6,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,"Directly from official sources such as NHS, Government etc",15,3,12,11,11,-,1,2,2,-,7,5,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Facts forwarded/ posted/ shared from a person you know,12,3,9,6,5,2,1,-,3,-,8,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Opinions from a person you don't know,11,8,2,6,4,2,1,2,1,-,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",8,6,2,3,3,2,1,2,-,-,5,-,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Facts forwarded/ posted/ shared from a person you don't know,5,3,2,4,4,1,1,-,-,-,4,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,I don't notice where the information is coming from,4,2,2,3,2,1,-,-,-,-,1,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,41,17,24,28,18,4,4,5,-,-,15,10,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,49*,20**,29**,35**,23**,5**,5**,4**,-**,-**,16**,13**,9**,10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",22,6,16,16,5,2,3,2,-,-,9,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,Opinions from a person you know,19,8,11,11,6,1,2,4,-,-,9,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,"Directly from official sources such as NHS, Government etc",14,9,4,10,9,-,2,2,-,-,5,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",14,5,9,11,5,-,1,1,-,-,8,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,Facts forwarded/ posted/ shared from a person you know,12,6,6,8,6,-,2,1,-,-,5,2,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",10,6,4,5,5,1,3,1,-,-,2,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,Opinions from a person you don't know,9,3,6,5,3,1,2,1,-,-,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,Facts forwarded/ posted/ shared from a person you don't know,8,3,6,5,2,1,1,2,-,-,4,-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 29th to 31st May 2020,I don't notice where the information is coming from,5,3,2,3,3,2,-,-,-,-,1,-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,36,20,16,21,17,8,5,2,-,,16,15,1,4,2,4,6,-,3,4,3,1,7,3,3,,,9,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,36*,21**,15**,21**,17**,9**,5**,2**,-**,,15**,17**,1**,3**,1**,5**,6**,-**,3**,4**,3**,1**,7**,4**,3**,,,8**,12**,10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",21,10,10,13,10,5,2,1,-,,9,10,-,2,1,2,4,-,1,2,1,1,7,3,1,,,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Opinions from a person you know,18,9,9,13,9,3,2,-,-,,11,5,1,1,1,2,4,-,1,2,1,-,5,3,-,,,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",12,8,4,4,4,4,3,1,-,,4,7,-,1,1,3,3,-,2,-,1,-,2,-,1,,,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Facts forwarded/ posted/ shared from a person you know,11,6,4,7,6,2,1,1,-,,8,2,-,1,-,1,2,-,2,2,-,-,2,2,-,,,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,"Directly from official sources such as NHS, Government etc",8,4,4,4,4,2,1,1,-,,5,-,-,2,-,1,3,-,2,2,-,-,-,-,-,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",6,4,1,1,1,3,2,-,-,,1,4,-,1,-,-,-,-,1,1,1,-,2,1,-,,,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Opinions from a person you don't know,5,5,-,4,4,-,1,-,-,,3,1,-,1,1,-,1,-,1,1,-,-,1,-,-,,,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Facts forwarded/ posted/ shared from a person you don't know,3,3,-,1,1,-,1,1,-,,1,1,-,1,-,-,1,-,2,-,-,-,-,-,-,,,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,36*,21**,15**,21**,17**,9**,5**,2**,-**,,15**,17**,1**,3**,1**,5**,6**,-**,3**,4**,3**,1**,7**,4**,3**,,,8**,12**,10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,I don't notice where the information is coming from,1,-,1,1,1,-,-,-,-,,*,1,-,-,-,-,-,-,-,-,1,-,-,-,*,,,-,*,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,18,26,11,20,36,19,25,11,10,11,19,31,2,7,5,2,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,36*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30**,17**,26**,11**,19**,36*,21**,26**,11**,11**,10**,19**,31**,1**,6**,6**,2**,20**,9**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,16,7,11,21,11,14,8,6,7,12,18,1,4,4,2,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Opinions from a person you know,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,9,14,8,10,18,11,11,5,7,7,10,17,1,2,2,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,10,4,8,12,7,10,3,3,6,7,12,1,3,-,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Facts forwarded/ posted/ shared from a person you know,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,8,6,9,11,7,8,5,4,4,5,9,1,-,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,"Directly from official sources such as NHS, Government etc",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,5,2,5,8,3,6,2,3,3,2,7,1,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,2,3,6,5,5,5,4,1,1,5,1,1,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Opinions from a person you don't know,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,3,3,5,1,5,3,4,1,3,5,1,1,3,1,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 22nd to 24th May 2020,Facts forwarded/ posted/ shared from a person you don't know,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,3,3,1,3,2,2,1,2,3,1,-,-,1,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
