table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),16-24 (d),18-24 (e),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,-,-,3,-,2,2,7,-,7,7,7,7,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,1,-,-,*,2,-,3,-,3,1,3,3,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,1,2,1,2,2,1,2,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,5,-,4,-,5,3.29,4.59,4.16,4.43,3,4.43,4.48,4.59,4.43,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,0,-,0.57,1.25,0.8,-,0.8,0.83,0.66,0.8,-,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,11,5,6,1,3,1,5,1,5,-,2,4,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,8**,3**,5**,1**,2**,1**,3**,1**,3**,-**,1**,4**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,8**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,4,1,3,1,1,1,2,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,2,1,1,-,1,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,4,2,1,2,1,-,1,1,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,3,4,2,2,-,2,-,2,1,2,-,*,2,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.73,3.66,3.77,4,3.57,4,3.82,3,3.61,-,3.57,3.86,-,-,-,-,-,-,-,-,-,-,-,3.73,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.85,0.98,0.87,-,1.18,-,1.07,-,0.95,-,-,0.95,-,-,-,-,-,-,-,-,-,-,-,0.85,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,21,10,11,4,2,5,5,4,9,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,16**,8**,8**,4**,1**,3**,4**,3**,7**,5**,1**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1**,1**,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,NET: Trust,14,8,6,2,1,3,4,2,6,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,5 - Trust completely,5,3,2,2,-,1,*,1,1,3,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,4,8,5,4,1,1,2,3,2,5,1,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,3,2,-,2,1,-,-,-,1,1,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,Mean,4.2,4.39,4.01,4.09,4,4.46,4.1,3.94,4.07,4.72,5,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.68,0.52,0.79,1.05,-,0.61,0.35,0.83,0.62,0.51,-,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,15,6,9,2,2,6,2,3,6,4,2,3,-,-,-,-,-,-,-,-,-,-,-,15,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,13**,5**,9**,2**,2**,7**,1**,2**,4**,5**,2**,3**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,13**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,11,3,8,1,2,7,*,1,2,4,2,3,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,7,1,5,1,-,5,-,1,2,1,1,2,-,-,-,-,-,-,-,-,-,-,-,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,4,4,2,2,-,2,2,*,-,*,2,1,1,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,3,3,1,1,1,-,-,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Mean,4.3,4.03,4.44,4.37,4,4.67,3.34,3.82,4.04,4.13,4.59,4.76,-,-,-,-,-,-,-,-,-,-,-,4.3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.8,0.86,0.78,-,-,0.51,-,1.38,1.09,0.77,0.69,0.53,-,-,-,-,-,-,-,-,-,-,-,0.8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,11,4,7,-,2,4,1,3,5,3,3,-,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,10**,3**,7**,-**,2**,3**,1**,2**,4**,3**,3**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,10**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1**,1**,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,9,3,6,-,1,3,1,2,4,2,3,-,-,-,-,-,-,-,-,-,-,-,-,9,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,5 - Trust completely,4,1,3,-,1,2,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,4,5,2,3,-,-,2,1,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,2,1,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,NET: Do not trust,1,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Mean,4.2,4.24,4.19,-,3.38,4.5,4,4.64,4.62,3.55,4.24,-,-,-,-,-,-,-,-,-,-,-,-,4.2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.89,0.51,1.07,-,-,0.6,-,0.64,0.56,1.46,0.52,-,-,-,-,-,-,-,-,-,-,-,-,0.89,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,9,5,4,1,1,2,2,2,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,10**,5**,4**,1**,1**,2**,2**,2**,4**,2**,1**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1**,1**,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,NET: Trust,6,3,3,1,-,1,1,2,2,2,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,5 - Trust completely,1,-,1,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,4,5,3,2,1,-,1,1,2,2,2,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,3,2,1,1,-,1,1,-,-,1,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,2,1,1,-,-,-,-,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,NET: Do not trust,1,1,-,-,-,-,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Mean,3.76,3.47,4.1,4,3,3.43,3.27,4,3.62,4,2,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.84,0.79,0.85,-,-,0.64,-,-,0.57,-,-,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,8,2,6,-,4,1,1,2,3,3,2,-,-,-,-,-,-,-,-,-,-,-,-,8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,8**,3**,5**,-**,3**,1**,2**,2**,3**,2**,3**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,8**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,7,3,5,-,3,1,2,2,3,2,3,-,-,-,-,-,-,-,-,-,-,-,-,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,2,-,2,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,4,5,3,3,-,2,-,2,2,2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,3,1,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Mean,4.18,4,4.28,-,4.09,5,4,4,4.34,4.24,4,-,-,-,-,-,-,-,-,-,-,-,-,4.18,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,0.59,0,0.73,-,0.82,-,-,-,0.61,1.1,0,-,-,-,-,-,-,-,-,-,-,-,-,0.59,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,14,7,7,4,2,3,2,3,5,4,3,2,-,-,-,-,-,-,-,-,-,-,-,14,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
