table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 6th to 8th November 2020,Not touching your face when outside,199,92,107,44,39,37,49,19,29,21,44,53,51,51,14,7,24,10,23,15,15,11,36,22,17,4,165,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 6th to 8th November 2020,None of these,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,,,
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Washing hands regularly and thoroughly,1146,529,617,142,128,178,185,217,171,253,288,333,240,285,94,49,115,86,97,80,54,125,167,152,88,39,959,30,513,398
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Limiting your contact with other people (including family and friends),1051,517,534,113,105,143,147,191,177,280,287,282,233,248,86,45,118,88,89,71,49,102,117,157,96,31,884,30,453,382
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Maintaining social distancing,1244,618,627,168,139,195,195,215,189,282,365,355,230,295,111,48,140,105,112,96,63,115,153,170,94,38,1033,23,539,448
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Wearing a face mask/ covering,1141,544,597,182,148,185,174,201,140,259,275,317,250,299,98,46,113,82,89,89,57,105,156,163,113,30,956,35,508,383
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Staying at home as much as possible,1074,512,561,135,117,172,160,178,164,264,303,301,194,276,88,39,128,92,99,77,49,103,139,138,86,35,902,23,450,404
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Work from home (if possible),321,170,150,68,61,77,61,46,41,27,95,100,62,63,21,13,39,30,29,26,7,17,50,51,26,12,280,10,135,126
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,Not touching your face when outside,193,106,87,50,44,56,32,20,14,21,54,51,50,38,21,5,19,14,22,11,9,16,39,16,16,4,159,13,72,70
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 4th to 6th December 2020,None of these,51,32,19,4,4,17,9,6,5,9,17,15,8,11,3,2,9,6,4,1,3,4,4,6,7,1,43,1,15,20
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Washing hands regularly and thoroughly,894,422,472,103,90,156,152,154,138,192,217,237,198,242,78,29,92,67,76,58,38,74,129,127,82,43,735,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Limiting your contact with other people (including family and friends),1068,507,561,124,105,154,157,198,168,267,300,292,214,262,94,37,119,97,103,74,57,111,113,141,97,25,892,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Maintaining social distancing,1095,554,541,170,146,169,174,192,158,231,317,296,231,251,79,53,141,92,82,75,54,104,154,139,92,29,932,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Wearing a face mask/ covering,1126,552,574,171,143,211,156,173,157,258,294,324,232,276,98,42,124,84,92,80,49,106,159,163,99,30,948,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Staying at home as much as possible,1537,707,830,203,171,223,207,268,232,404,410,440,292,395,128,54,167,128,134,114,80,153,178,229,131,40,1289,,,
