table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,635,291,344,61,54,68,84,122,101,199,166,181,111,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,664,309,355,69*,61*,84*,91*,120,105*,195,142,183,151*,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Trust,484,210,274,45,39,57,71,92,80,138,97,124,119,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,5 - Trust completely,153,71,81,18,14,21,33,22,21,37,27,33,45,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,4,331,139,192,28,26,35,38,70,59,101,69,91,74,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,3,156,79,77,22,20,20,17,26,22,49,41,50,26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,2,17,12,4,1,1,4,3,1,3,5,2,8,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,1 - Do not trust at all,7,7,-,-,-,3,-,1,-,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Do not trust,23,19,4,1,1,7,3,2,3,8,4,9,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,3.91,3.83,3.99,3.9,3.85,3.81,4.13,3.92,3.94,3.84,3.83,3.8,4.05,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.81,0.9,0.7,0.81,0.79,0.99,0.81,0.71,0.72,0.81,0.8,0.82,0.81,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,594,286,308,42,40,69,78,119,103,183,181,143,134,136,22,28,80,48,57,49,20,66,91,71,42,20,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,595,279,316,45*,42*,71*,74*,118,100*,188,161,149,141,144,19**,32**,88*,50*,58*,41*,20**,65*,88*,68*,45*,21**,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,417,188,230,31,28,47,53,82,67,137,123,104,90,101,17,16,69,40,28,30,13,45,59,50,37,14,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,5 - Trust completely,148,61,88,12,10,26,19,24,22,45,37,40,31,40,7,9,24,14,10,8,2,22,19,10,20,3,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,4,269,127,142,19,19,21,34,58,45,92,86,64,59,61,9,7,45,26,18,22,11,23,40,41,17,10,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,3,140,73,67,11,11,19,15,31,25,38,30,39,40,31,2,12,17,6,23,6,5,17,22,15,8,7,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,2,28,13,15,2,2,2,4,4,4,11,6,3,8,12,-,1,1,4,7,5,2,2,4,2,1,-,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,1 - Do not trust at all,10,5,5,-,-,2,1,1,4,1,3,3,4,*,*,2,1,-,1,-,-,1,3,1,-,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,NET: Do not trust,38,18,19,2,2,5,6,5,8,12,8,6,11,12,*,3,2,4,8,5,2,3,7,2,1,-,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,Mean,3.87,3.81,3.93,3.92,3.84,3.92,3.87,3.85,3.77,3.91,3.93,3.91,3.75,3.89,4.2,3.62,4.03,4.01,3.5,3.8,3.6,3.96,3.78,3.83,4.23,3.8,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.9,0.89,0.9,0.87,0.85,1.04,0.94,0.82,0.96,0.85,0.83,0.89,0.95,0.91,0.84,1.15,0.79,0.85,0.96,0.9,0.83,0.96,0.95,0.74,0.79,0.7,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,606,308,298,57,50,66,86,98,107,192,154,158,126,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,624,318,306,59*,51*,68*,94*,112*,102*,189,144,168,149,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,NET: Trust,445,228,217,42,36,32,77,82,82,130,103,116,111,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,5 - Trust completely,135,67,67,17,16,13,28,20,17,39,32,36,39,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,4,311,161,150,25,20,19,49,63,65,91,71,81,72,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,3,149,70,79,17,16,26,11,29,17,49,34,43,31,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,2,23,14,8,-,-,8,4,-,3,8,6,6,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,1 - Do not trust at all,7,6,1,-,-,3,2,-,1,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,NET: Do not trust,30,21,9,-,-,10,6,-,3,10,7,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,Mean,3.87,3.84,3.9,4.01,4.01,3.48,4.03,3.91,3.93,3.83,3.88,3.84,3.94,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 31,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.83,0.88,0.78,0.77,0.79,1.07,0.87,0.66,0.71,0.84,0.83,0.85,0.87,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,543,246,297,40,33,52,73,95,104,179,156,129,109,149,29,29,66,41,50,45,24,55,66,72,49,17,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,565,264,301,51*,42**,54*,71*,106*,101*,182,150,134,133*,149,30**,34**,73*,43*,55*,39*,21**,56*,69*,81*,47*,19**,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,405,174,230,43,35,32,50,77,72,130,111,96,99,99,22,23,52,24,35,28,18,42,53,63,33,13,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
