table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 5th to 11th April 2021,3,660,311,349,95,83,141,114,113,94,103,145,182,150,183,63,30,76,58,68,49,24,48,97,83,44,21,553,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 5th to 11th April 2021,2,630,286,344,101,82,89,102,94,94,150,185,206,115,124,58,21,71,40,47,44,32,67,72,94,65,20,520,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 5th to 11th April 2021,1 - Relying completely on media/official sources,530,267,263,38,37,44,58,108,89,193,149,148,98,135,33,24,55,52,33,33,27,58,66,79,58,12,459,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 5th to 11th April 2021,NET: Bottom 2 box,1161,553,607,139,119,133,160,202,183,343,334,355,213,259,91,44,126,92,80,78,59,125,138,174,123,31,980,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 5th to 11th April 2021,Mean,2.33,2.38,2.28,2.6,2.63,2.73,2.47,2.25,2.19,1.9,2.31,2.25,2.44,2.34,2.41,2.28,2.36,2.24,2.57,2.38,2.36,2.21,2.45,2.23,2.05,2.47,2.31,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2072,1018,1054,286,252,348,318,353,301,467,565,588,422,498,170,82*,231,166,179,145,99,197,278,286,177,62*,1741,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2105,1005,1100,261,231,323,320,362,338,501,604,562,433,506,183,81,205,157,195,154,101,207,280,283,180,79,1742,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2104,1026,1078,293,257,349,322,361,303,478,577,595,426,506,177,84*,234,174,182,149,98*,200,277,284,180,64*,1765,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,NET: Top 2 box,239,129,111,48,43,73,33,38,17,29,58,71,50,61,14,12,24,24,32,11,15,13,39,31,16,9,201,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,5 - Relying completely on people I know/people in my local area/people on social media,67,34,33,14,12,27,8,10,5,4,20,18,15,14,1,6,4,8,15,-,6,2,13,8,3,1,59,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,4,172,95,77,34,31,47,25,29,13,25,38,53,35,46,13,6,20,16,17,11,9,11,26,23,13,7,142,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,3,688,295,394,115,94,134,108,122,91,118,169,189,149,182,58,28,80,55,60,48,34,68,91,89,66,12,584,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,2,628,313,315,96,87,90,100,100,107,135,192,189,109,137,54,23,72,48,52,45,30,64,83,86,53,18,525,,,
