table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 142,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.79,0.78,0.81,0.83,0.86,0.9,0.75,0.67,0.74,0.9,0.83,0.73,0.8,0.78,0.83,0.85,0.67,0.75,0.84,0.95,1.12,0.94,0.86,0.67,0.51,0.66,,0.89,0.69,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,156,220,105,129,127,34,109,40,42,91,115,269,6,93,28,7,111,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,155,217,107*,133,130,36**,110*,42*,45*,89*,117,271,7**,91*,27**,7**,112*,85*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,90,120,52,67,73,26,60,20,23,49,61,148,4,55,19,1,49,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,21,13,12,16,6,14,6,3,7,13,29,-,12,1,-,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,4,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,72,99,40,55,58,20,46,13,20,42,48,119,4,43,18,1,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,3,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,56,84,48,57,46,9,40,18,19,34,49,108,3,31,7,4,52,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,9,4,5,7,1,6,3,2,2,6,10,-,5,-,2,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,2,4,3,1,3,1,1,4,1,4,-,1,1,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,13,6,9,10,2,9,4,3,7,7,14,-,6,1,2,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
