table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,1.03,0.96,1.05,0.82,0.85,0.81,0.95,1.12,1.03,1.07,0.93,0.99,1.08,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,112,60,52,11,8,21,18,18,15,29,33,39,14,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,100*,54*,47*,9**,6**,19**,17**,18**,12**,25**,26*,35*,13**,27**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,NET: More,38,22,16,6,4,6,6,7,5,9,10,13,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A lot more          (+3),9,6,3,2,2,3,2,-,-,2,4,-,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A little more       (+2),28,16,13,4,2,2,4,7,5,7,7,13,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,About the same      (+1),45,23,22,2,2,7,8,11,4,11,10,16,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Don't use            (0),18,10,8,1,-,6,3,-,3,5,6,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Mean,1.29,1.34,1.23,1.64,1.88,1.15,1.29,1.39,1.18,1.23,1.32,1.2,1.06,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.87,0.91,0.83,0.99,0.9,1.08,0.92,0.5,0.81,0.88,0.98,0.72,0.77,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,110,54,56,11,9,20,20,18,15,26,25,31,19,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,99*,48*,51*,9**,7**,20**,17**,17**,13**,23**,23**,26**,18**,32**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,NET: More,49,23,26,4,2,14,4,11,5,11,12,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A lot more          (+3),15,6,9,2,1,6,1,2,1,3,5,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A little more       (+2),34,17,17,2,1,8,3,9,4,9,7,10,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,About the same      (+1),38,22,16,4,4,3,12,5,8,6,9,13,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Don't use            (0),12,3,9,1,1,3,2,1,-,5,2,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Mean,1.53,1.53,1.52,1.58,1.29,1.8,1.13,1.77,1.51,1.41,1.61,1.43,1.82,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.89,0.8,0.98,1.01,0.97,1.05,0.68,0.76,0.72,0.97,0.95,0.7,1.09,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,106,43,63,10,7,19,20,21,18,18,24,37,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,99*,42*,57*,11**,8**,20**,16**,17**,16**,19**,21**,34*,19**,25**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,NET: More,52,23,29,7,4,7,9,10,11,7,12,16,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A lot more          (+3),12,6,6,2,2,3,3,2,2,1,1,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A little more       (+2),40,17,23,6,2,4,6,8,10,6,10,12,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,About the same      (+1),35,16,19,4,4,7,6,7,3,9,7,17,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Don't use            (0),12,3,9,-,-,5,1,1,2,3,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.52,1.6,1.46,1.79,1.69,1.24,1.73,1.62,1.68,1.24,1.53,1.52,1.57,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.86,0.83,0.89,0.69,0.84,1.03,0.85,0.74,0.85,0.82,0.77,0.78,1,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,111,49,62,13,11,14,15,22,22,25,31,39,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,102*,42*,60*,15**,13**,16**,14**,19**,17**,22**,24**,34*,15**,29**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,NET: More,50,16,35,10,7,7,6,12,9,7,15,13,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,A lot more          (+3),17,4,13,3,1,3,4,5,1,1,6,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,A little more       (+2),34,12,22,7,6,4,2,7,8,6,9,9,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,About the same      (+1),42,21,22,2,2,7,8,6,6,13,8,18,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Don't use            (0),9,5,4,3,3,2,-,*,2,2,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,1.57,1.34,1.74,1.64,1.47,1.51,1.7,1.88,1.49,1.28,1.82,1.43,1.52,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.87,0.81,0.88,1.02,1.01,0.95,0.91,0.84,0.8,0.71,0.89,0.8,0.94,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,115,66,49,18,14,23,10,23,18,23,30,30,21,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,100*,57*,44*,20**,15**,19**,8**,20**,14**,20**,23**,27**,19**,31**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,NET: More,42,18,24,17,13,7,2,6,5,6,11,10,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,A lot more          (+3),12,5,7,5,4,2,1,1,2,2,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,A little more       (+2),30,13,17,12,9,5,1,5,3,3,9,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,About the same      (+1),42,27,15,2,2,8,1,11,8,12,10,14,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Don't use            (0),16,11,4,1,-,3,5,4,*,2,3,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Mean,1.39,1.21,1.61,2.04,2.1,1.28,0.6,1.14,1.5,1.28,1.43,1.31,1.59,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.9,0.88,0.88,0.76,0.63,0.88,1.11,0.74,0.78,0.85,0.82,0.81,1.02,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,126,61,65,,,,,,,,46,41,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,22,15,26,26,29
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,108,54*,55*,,,,,,,,33*,37*,6**,32**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6**,19**,10**,24**,22**,27**
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,NET: More,50,22,28,,,,,,,,11,20,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,12,12,9
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A lot more          (+3),18,4,14,,,,,,,,4,7,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,3,3,3
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A little more       (+2),32,17,15,,,,,,,,8,13,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,9,9,6
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,About the same      (+1),45,27,18,,,,,,,,17,14,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,3,9,9,11
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Don't use            (0),14,5,9,,,,,,,,5,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,3,1,3,1,6
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Mean,1.5,1.39,1.61,,,,,,,,1.31,1.66,1.4,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,1.32,1.91,1.53,1.61,1.22
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.92,0.77,1.03,,,,,,,,0.88,0.9,0.9,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.9,1.01,0.91,0.8,0.94
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,112,59,53,11,7,25,19,12,17,28,33,28,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,101*,51*,51*,8**,5**,21**,15**,16**,15**,26**,27**,24**,24**,26**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,NET: More,47,25,22,6,3,8,8,10,2,12,13,11,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A lot more          (+3),20,11,9,2,2,4,1,9,1,4,4,2,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A little more       (+2),27,14,13,5,2,4,7,2,1,8,9,9,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,About the same      (+1),42,20,22,1,1,10,7,2,10,13,10,12,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Don't use            (0),13,6,8,1,1,3,-,4,3,2,4,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Mean,1.52,1.6,1.44,1.82,2,1.39,1.58,1.91,1.04,1.54,1.48,1.55,1.64,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.95,0.96,0.95,1,1.13,0.95,0.61,1.32,0.79,0.84,0.94,0.73,1.14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
