date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-05-30,37296,2900,0,810,73,0,2020-05-31 02:32:45,34396,737,0.0778,BRA,Brazil,Para,-1.9981,-54.9306,[]
2020-05-30,12862,347,0,851,20,0,2020-05-31 02:32:45,12515,831,0.027,BRA,Brazil,Paraiba,-7.24,-36.782,[]
2020-05-30,4473,181,0,237,8,0,2020-05-31 02:32:45,4292,229,0.0405,BRA,Brazil,Parana,-25.2521,-52.0215,[]
2020-05-30,33427,2740,0,1172,71,0,2020-05-31 02:32:45,30687,1101,0.082,BRA,Brazil,Pernambuco,-8.8137,-36.9541,[]
2020-05-30,4745,157,0,242,11,0,2020-05-31 02:32:45,4588,231,0.0331,BRA,Brazil,Piaui,-7.7183,-42.7289,[]
2020-05-30,7402,305,0,939,37,0,2020-05-31 02:32:45,7097,902,0.0412,BRA,Brazil,Rio Grande do Norte,-5.4026,-36.9541,[]
2020-05-30,9242,218,0,1008,5,0,2020-05-31 02:32:45,9024,1003,0.0236,BRA,Brazil,Rio Grande do Sul,-30.0346,-51.2177,[]
2020-05-30,52420,5277,0,4467,198,0,2020-05-31 02:32:45,47143,4269,0.1007,BRA,Brazil,Rio de Janeiro,-22.9068,-43.1729,[]
2020-05-30,4743,151,0,241,6,0,2020-05-31 02:32:45,4592,235,0.0318,BRA,Brazil,Rondonia,-11.5057,-63.5806,[]
2020-05-30,3299,110,0,201,2,0,2020-05-31 02:32:45,3189,199,0.0333,BRA,Brazil,Roraima,-2.7376,-62.0751,[]
2020-05-30,8778,136,0,248,2,0,2020-05-31 02:32:45,8642,246,0.0155,BRA,Brazil,Santa Catarina,-27.2423,-50.2189,[]
2020-05-30,107142,7532,0,5586,257,0,2020-05-31 02:32:45,99610,5329,0.0703,BRA,Brazil,Sao Paulo,-23.5505,-46.6333,[]
2020-05-30,6805,149,0,343,7,0,2020-05-31 02:32:45,6656,336,0.0219,BRA,Brazil,Sergipe,-10.5741,-37.3857,[]
2020-05-30,3981,71,0,370,1,0,2020-05-31 02:32:45,3910,369,0.0178,BRA,Brazil,Tocantins,-10.1753,-48.2982,[]
2020-05-30,0,0,200892,0,0,11416,2020-05-31 02:32:45,-200892,-11416,0.0,BRA,Brazil,Unknown,,,[]
2020-05-31,6219,148,0,147,6,0,2020-06-01 02:32:46,6071,141,0.0238,BRA,Brazil,Acre,-9.0238,-70.812,[]
2020-05-31,10288,443,0,1065,19,0,2020-06-01 02:32:46,9845,1046,0.0431,BRA,Brazil,Alagoas,-9.5713,-36.782,[]
2020-05-31,9602,222,0,289,7,0,2020-06-01 02:32:46,9380,282,0.0231,BRA,Brazil,Amapa,0.902,-52.003,[]
2020-05-31,41378,2052,0,818,5,0,2020-06-01 02:32:46,39326,813,0.0496,BRA,Brazil,Amazonas,-3.4168,-65.8561,[]
2020-05-31,18392,667,0,766,29,0,2020-06-01 02:32:46,17725,737,0.0363,BRA,Brazil,Bahia,-12.5797,-41.7007,[]
2020-05-31,48489,3010,0,1983,54,0,2020-06-01 02:32:46,45479,1929,0.0621,BRA,Brazil,Ceara,-5.4984,-39.3206,[]
2020-05-31,9780,170,0,306,8,0,2020-06-01 02:32:46,9610,298,0.0174,BRA,Brazil,Distrito Federal,-15.7998,-47.8645,[]
2020-05-31,13690,604,0,253,21,0,2020-06-01 02:32:46,13086,232,0.0441,BRA,Brazil,Espirito Santo,-19.1834,-40.3089,[]
2020-05-31,3702,124,0,117,2,0,2020-06-01 02:32:46,3578,115,0.0335,BRA,Brazil,Goias,-15.827,-49.8362,[]
2020-05-31,34639,955,0,2019,23,0,2020-06-01 02:32:46,33684,1996,0.0276,BRA,Brazil,Maranhao,-4.9609,-45.2744,[]
2020-05-31,2429,61,0,68,4,0,2020-06-01 02:32:46,2368,64,0.0251,BRA,Brazil,Mato Grosso,-12.6819,-56.9211,[]
2020-05-31,1489,20,0,71,1,0,2020-06-01 02:32:46,1469,70,0.0134,BRA,Brazil,Mato Grosso do Sul,-20.7722,-54.7852,[]
2020-05-31,10464,271,0,834,8,0,2020-06-01 02:32:46,10193,826,0.0259,BRA,Brazil,Minas Gerais,-18.5122,-44.555,[]
2020-05-31,37961,2923,0,665,23,0,2020-06-01 02:32:46,35038,642,0.077,BRA,Brazil,Para,-1.9981,-54.9306,[]
2020-05-31,13162,360,0,300,13,0,2020-06-01 02:32:46,12802,287,0.0274,BRA,Brazil,Paraiba,-7.24,-36.782,[]
2020-05-31,4687,182,0,214,1,0,2020-06-01 02:32:46,4505,213,0.0388,BRA,Brazil,Parana,-25.2521,-52.0215,[]
2020-05-31,34450,2807,0,1023,67,0,2020-06-01 02:32:46,31643,956,0.0815,BRA,Brazil,Pernambuco,-8.8137,-36.9541,[]
2020-05-31,4931,161,0,186,4,0,2020-06-01 02:32:46,4770,182,0.0327,BRA,Brazil,Piaui,-7.7183,-42.7289,[]
2020-05-31,8051,305,0,649,0,0,2020-06-01 02:32:46,7746,649,0.0379,BRA,Brazil,Rio Grande do Norte,-5.4026,-36.9541,[]
2020-05-31,9332,224,0,90,6,0,2020-06-01 02:32:46,9108,84,0.024,BRA,Brazil,Rio Grande do Sul,-30.0346,-51.2177,[]
2020-05-31,53388,5344,0,968,67,0,2020-06-01 02:32:46,48044,901,0.1001,BRA,Brazil,Rio de Janeiro,-22.9068,-43.1729,[]
2020-05-31,4942,156,0,199,5,0,2020-06-01 02:32:46,4786,194,0.0316,BRA,Brazil,Rondonia,-11.5057,-63.5806,[]
